Station Name,Month,Period,No. of Years,Mean Temperature in degree C - Maximum,Mean Temperature  in degree C - Minimum,Mean Rainfall in mm,Latitude,Longitude
Anantpur,August,1946-2000,55,32.8,23.8,75.3,14.6800,77.6000
Anantpur,September,1946-2000,55,32.8,23.4,133.2,14.6800,77.6000
Anantpur,October,1946-2000,55,31.8,22.5,104.7,14.6800,77.6000
Anantpur,November,1946-2000,55,30.1,20.1,37.8,14.6800,77.6000
Anantpur,December,1946-2000,55,29.1,17.7,11.2,14.6800,77.6000
Androth,January,1965-1979,11,30.3,24.4,10.5,10.8126,73.6801
Androth,February,1965-1979,11,30.9,24.8,2.4,10.8126,73.6801
Androth,March,1965-1979,11,32.2,25.5,6,10.8126,73.6801
Androth,April,1965-1979,11,33.1,26.3,25.9,10.8126,73.6801
Androth,May,1965-1979,11,32.8,26.4,130.4,10.8126,73.6801
Androth,June,1965-1979,11,30.5,24.9,401.7,10.8126,73.6801
Androth,July,1965-1979,11,29.9,24.3,486.1,10.8126,73.6801
Androth,August,1965-1979,11,30.1,24.9,238.6,10.8126,73.6801
Androth,September,1965-1979,11,30,24.7,182.2,10.8126,73.6801
Androth,October,1965-1979,11,30.5,24.7,166.5,10.8126,73.6801
Androth,November,1965-1979,11,30.4,24.1,129.8,10.8126,73.6801
Androth,December,1965-1979,11,30.7,24,90.2,10.8126,73.6801
Aurangabad,January,1952-2000,49,29,11,11.3,19.8993,75.3195
Aurangabad,February,1952-2000,49,31.7,13,2.7,19.8993,75.3195
Aurangabad,March,1952-2000,49,35.6,17.6,5.6,19.8993,75.3195
Aurangabad,April,1952-2000,49,38.5,21.9,3.9,19.8993,75.3195
Aurangabad,May,1952-2000,49,39.5,23.9,26.2,19.8993,75.3195
Aurangabad,June,1952-2000,49,34.7,22.9,132.2,19.8993,75.3195
Aurangabad,July,1952-2000,49,30.3,21.7,157.9,19.8993,75.3195
Aurangabad,August,1952-2000,49,29.2,21.1,152.7,19.8993,75.3195
Aurangabad,September,1952-2000,49,30.3,20.6,146,19.8993,75.3195
Aurangabad,October,1952-2000,49,31.8,18,62.1,19.8993,75.3195
Aurangabad,November,1952-2000,49,30,13.7,26.8,19.8993,75.3195
Aurangabad,December,1952-2000,49,28.4,10.7,12,19.8993,75.3195
Balasore,January,1901-2000,97,27,13.9,17,21.4916,86.9150
Balasore,February,1901-2000,97,29.5,16.7,36.3,21.4916,86.9150
Balasore,March,1901-2000,97,33.7,21,39.4,21.4916,86.9150
Balasore,April,1901-2000,97,36,24.4,54.8,21.4916,86.9150
Balasore,May,1901-2000,97,36.1,26,108.6,21.4916,86.9150
Balasore,June,1901-2000,97,34.2,26.2,233.4,21.4916,86.9150
Balasore,July,1901-2000,97,31.8,25.8,297.9,21.4916,86.9150
Balasore,August,1901-2000,97,31.4,25.8,318.3,21.4916,86.9150
Balasore,September,1901-2000,97,31.7,25.5,275.8,21.4916,86.9150
Balasore,October,1901-2000,97,31.3,23,184,21.4916,86.9150
Balasore,November,1901-2000,97,29.2,17.8,41.6,21.4916,86.9150
Balasore,December,1901-2000,97,26.9,13.7,6.5,21.4916,86.9150
Bangalore,January,1901-2000,100,27.4,15,4.9,12.9667,77.5667
